Distrito,parlamentario/a,coalición,partido político,Votos obtenidos,% obtenido,año elección
1,Luis Leblanc Valenzuela,Concertación de Partidos por la Democracia,DC,21314,"25,08%",1989
1,Carlos Valcarce Medina,Democracia y Progreso,RN,21497,"25,3%",1989
2,Vladislav Kuzmicic Calderón,Concertación de Partidos por la Democracia,PPD,30007,"39,16%",1989
2,Ramón Pérez Opazo,Democracia y Progreso,Ind-RN,22782,"29,73%",1989
3,Nicanor de la Cruz,Concertación de Partidos por la Democracia,Ind-PPD,24803,"29,16%",1989
3,Carlos Cantero Ojeda,Democracia y Progreso,RN,13901,"16,34%",1989
4,Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PPD,40124,"33,54%",1989
4,Rubén Gajardo Chacón,Concertación de Partidos por la Democracia,DC,35630,"29,78%",1989
5,Sergio Pizarro Mackay,Concertación de Partidos por la Democracia,DC,20313,"30,84%",1989
5,Carlos Vilches Guzmán,Democracia y Progreso,RN,11271,"17,11%",1989
6,Armando Arancibia Calderón,Concertación de Partidos por la Democracia,PPD,13143,"30,64%",1989
6,Baldo Prokurica Prokurica,Democracia y Progreso,RN,11644,"27,15%",1989
7,Eugenio Munizaga Rodríguez,Democracia y Progreso,RN,25376,"31,05%",1989
7,Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,21256,"26,01%",1989
8,Jorge Pizarro Soto,Concertación de Partidos por la Democracia,DC,35068,"37,1%",1989
8,Jorge Morales Adriasola,Democracia y Progreso,RN,16817,"17,79%",1989
9,Víctor Manuel Rebolledo,Concertación de Partidos por la Democracia,PPD,22057,"34,74%",1989
9,Julio Rojos Astorga,Concertación de Partidos por la Democracia,DC,19753,"31,11%",1989
10,Eduardo Cerda García,Concertación de Partidos por la Democracia,DC,41004,"31,76%",1989
10,Federico Ringeling Hunger,Democracia y Progreso,RN,31379,"24,31%",1989
11,Sergio Jara Catalán,Concertación de Partidos por la Democracia,DC,26934,"26,88%",1989
11,Claudio Rodríguez Cataldo,Democracia y Progreso,RN,20832,"20,79%",1989
12,Jorge Molina Valdivieso,Concertación de Partidos por la Democracia,PPD,42590,"37,79%",1989
12,Arturo Longton Guerrero,Democracia y Progreso,RN,23005,"20,41%",1989
13,Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,55642,"34,45%",1989
13,Francisco Bartolucci Johnston,Democracia y Progreso,UDI,28593,"17,7%",1989
14,Gustavo Cardemil Alfaro,Concertación de Partidos por la Democracia,DC,47252,"28,61%",1989
14,Raúl Urrutia,Democracia y Progreso,RN,30005,"18,17%",1989
15,Sergio Velasco de La Cerda,Concertación de Partidos por la Democracia,DC,25429,"37,38%",1989
15,Akin Soto Morales,Concertación de Partidos por la Democracia,PPD,16252,"23,89%",1989
16,Adriana Muñoz D'Albora,Concertación de Partidos por la Democracia,PPD,35448,"30,42%",1989
16,Patricio Melero Abaroa,Democracia y Progreso,UDI,23269,"19,97%",1989
17,Ramón Elizalde Hevia,Concertación de Partidos por la Democracia,DC,61640,"33,07%",1989
17,María Maluenda Campos,Concertación de Partidos por la Democracia,PPD,54939,"29,47%",1989
18,Hernán Bosselin Correa,Concertación de Partidos por la Democracia,DC,76105,"37,04%",1989
18,Andrés Sotomayor Mardones,Democracia y Progreso,RN,28114,"13,68%",1989
19,Mario Hamuy Berr,Concertación de Partidos por la Democracia,DC,41876,"30,02%",1989
19,Cristián Leay Morán,Democracia y Progreso,UDI,34137,"24,47%",1989
20,Carlos Dupré Silva,Concertación de Partidos por la Democracia,DC,79757,"36,55%",1989
20,Ángel Fantuzzi Hernández,Democracia y Progreso,RN,65802,"30,15%",1989
21,Alberto Espina Otero,Democracia y Progreso,RN,83922,"40,45%",1989
21,Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,72853,"35,11%",1989
22,Carlos Bombal Otaegui,Democracia y Progreso,Ind-UDI,58502,"38,46%",1989
22,Jorge Schaulsohn Brodsky,Concertación de Partidos por la Democracia,PPD,42022,"27,63%",1989
23,Evelyn Matthei Fornet,Democracia y Progreso,RN,79595,"42,32%",1989
23,Eliana Caraball Martínez,Concertación de Partidos por la Democracia,DC,49961,"26,56%",1989
24,María Angélica Cristi Marfil,Democracia y Progreso,Ind-RN,47633,"34,43%",1989
24,Laura Rodríguez Riccomini[nota 1],Concertación de Partidos por la Democracia,PH,40526,"29,29%",1989
25,Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,83715,"42,78%",1989
25,Jaime Orpis Bouchón,Democracia y Progreso,UDI,42733,"21,83%",1989
26,Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PPD,51504,"35,79%",1989
26,Gustavo Alessandri Balmaceda,Democracia y Progreso,Ind-RN,30484,"21,18%",1989
27,Hernán Rojo Avendaño,Concertación de Partidos por la Democracia,DC,69757,"35,27%",1989
27,Camilo Escalona Medina,Liberal-Socialista Chileno,Ind-PS (Almeyda),50949,"25,76%",1989
28,Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,85358,"42,53%",1989
28,Mario Palestro Rojas,Liberal-Socialista Chileno,Ind-PS (Almeyda),44649,"22,25%",1989
29,Guillermo Yunge Bustamante,Concertación de Partidos por la Democracia,DC,63598,"41,32%",1989
29,Jaime Estévez Valencia,Concertación de Partidos por la Democracia,PPD,35120,"22,82%",1989
30,Andrés Aylwin Azócar,Concertación de Partidos por la Democracia,DC,81125,"55,75%",1989
30,Pablo Longueira Montes,Democracia y Progreso,UDI,37470,"25,75%",1989
31,Vicente Sota Barros,Concertación de Partidos por la Democracia,PPD,43931,"30,7%",1989
31,Juan Antonio Coloma Correa,Democracia y Progreso,UDI,29348,"20,51%",1989
32,Héctor Olivares Solís,Concertación de Partidos por la Democracia,Ind-PPD,37363,"38,34%",1989
32,Federico Mekis Martínez,Democracia y Progreso,RN,32985,"33,85%",1989
33,Juan Pablo Letelier Morel,Unidad para la Democracia,PAIS,28451,"27,61%",1989
33,Andrés Chadwick Piñera,Democracia y Progreso,UDI,27837,"27,01%",1989
34,Hugo Rodríguez Guerrero,Concertación de Partidos por la Democracia,DC,19798,"22,45%",1989
34,Juan Masferrer Pellizari,Democracia y Progreso,Ind-UDI,17987,"20,39%",1989
35,Juan Carlos Latorre Carmona,Concertación de Partidos por la Democracia,DC,21664,"31,03%",1989
35,José María Hurtado Ruiz-Tagle,Democracia y Progreso,RN,11953,"17,12%",1989
36,Gustavo Ramírez Vergara,Concertación de Partidos por la Democracia,DC,44825,"39,1%",1989
36,Sergio Correa de La Cerda,Democracia y Progreso,UDI,26457,"23,08%",1989
37,Eugenio Ortega Riquelme,Concertación de Partidos por la Democracia,DC,39157,"44,66%",1989
37,Sergio Aguiló Melo,Concertación de Partidos por la Democracia,Ind-IC,19405,"22,13%",1989
38,Jaime Campos Quiroga,Concertación de Partidos por la Democracia,PR,34538,"50,43%",1989
38,Pedro Álvarez-Salamanca Büchi,Democracia y Progreso,RN,12628,"18,44%",1989
39,Jaime Naranjo Ortiz,Concertación de Partidos por la Democracia,Ind-IC,31420,"37,41%",1989
39,Luis Navarrete Carvacho,Democracia y Progreso,Ind-UDI,15452,"18,4%",1989
40,Manuel Matta Aragay,Concertación de Partidos por la Democracia,DC,25029,"33,25%",1989
40,Alfonso Rodríguez Del Río,Democracia y Progreso,RN,14578,"19,37%",1989
41,Isidoro Tohá González,Concertación de Partidos por la Democracia,Ind-PPD,40477,"32,65%",1989
41,Pedro Guzmán Álvarez,Democracia y Progreso,UDI,25709,"20,74%",1989
42,Hosaín Sabag Castillo[nota 2],Fuera de Pacto,Ind,43194,"39,06%",1989
42,Hugo Álamos Vásquez,Democracia y Progreso,RN,29491,"26,67%",1989
43,Víctor Jeame Barrueto,Concertación de Partidos por la Democracia,PPD,41356,"34,27%",1989
43,Jorge Ulloa Aguillón,Democracia y Progreso,UDI,17401,"14,42%",1989
44,José Miguel Ortiz Novoa,Concertación de Partidos por la Democracia,DC,56709,"32,8%",1989
44,José Antonio Viera Gallo Quesney,Concertación de Partidos por la Democracia,PPD,51969,"30,06%",1989
45,Edmundo Salas de la Fuente,Concertación de Partidos por la Democracia,DC,33965,"31,49%",1989
45,Juan Martínez Sepúlveda,Unidad para la Democracia,PAIS,24799,"22,99%",1989
46,Claudio Huepe García,Concertación de Partidos por la Democracia,DC,34647,"35,93%",1989
46,Jaime Rocha Manrique,Concertación de Partidos por la Democracia,PR,16493,"17,1%",1989
47,Víctor Pérez Varela,Democracia y Progreso,Ind-UDI,36941,"26,95%",1989
47,Octavio Jara Wolff,Concertación de Partidos por la Democracia,PPD,34746,"25,35%",1989
48,Edmundo Villouta Concha,Concertación de Partidos por la Democracia,DC,22711,"32,16%",1989
48,Francisco Bayo Veloso,Democracia y Progreso,RN,15644,"22,15%",1989
49,Roberto Muñoz Barra,Concertación de Partidos por la Democracia,Ind-SDCH,24958,"37,82%",1989
49,José Antonio Galilea Vidaurre,Democracia y Progreso,RN,14024,"21,25%",1989
50,Francisco Huenchumilla Jaramillo,Concertación de Partidos por la Democracia,DC,46279,"38,67%",1989
50,José García Ruminot,Democracia y Progreso,RN,35240,"29,44%",1989
51,José Peña Meza,Concertación de Partidos por la Democracia,PR,15875,"25,06%",1989
51,Teodoro Ribera Neumann,Democracia y Progreso,RN,13273,"20,96%",1989
52,Mario Acuña Cisternas,Concertación de Partidos por la Democracia,DC,18623,"29,75%",1989
52,René Manuel García García,Democracia y Progreso,RN,18305,"29,24%",1989
53,Juan Concha Urbina,Concertación de Partidos por la Democracia,DC,32085,"37,41%",1989
53,Juan Enrique Taladriz García,Democracia y Progreso,RN,22947,"26,76%",1989
54,Carlos Caminondo Sáez,Democracia y Progreso,RN,23894,"29,82%",1989
54,Mario Devaud Ojeda,Concertación de Partidos por la Democracia,PR,20042,"25,01%",1989
55,Sergio Ojeda Uribe,Concertación de Partidos por la Democracia,DC,30536,"38,95%",1989
55,Marina Prochelle Aguilar,Democracia y Progreso,RN,21134,"26,96%",1989
56,Víctor Reyes Alvarado,Concertación de Partidos por la Democracia,DC,19077,"28,49%",1989
56,Carlos Recondo Lavanderos,Democracia y Progreso,UDI,12565,"18,76%",1989
57,Sergio Elgueta Barrientos,Concertación de Partidos por la Democracia,DC,22651,"28,63%",1989
57,Carlos Kuschel Silva,Democracia y Progreso,RN,21211,"26,81%",1989
58,Dionisio Faulbaum Mayorga,Concertación de Partidos por la Democracia,PR,18252,"27,39%",1989
58,Juan Alberto Pérez Muñoz,Democracia y Progreso,RN,16216,"24,34%",1989
59,Antonio Horvath Kiss,Democracia y Progreso,Ind-RN,13778,"37,74%",1989
59,Baldemar Carrasco Muñoz,Concertación de Partidos por la Democracia,DC,9264,"25,38%",1989
60,Milenko Vilicic Karnincic,Concertación de Partidos por la Democracia,Ind-PAC,27546,"34,85%",1989
60,Carlos Smok Ubeda,Concertación de Partidos por la Democracia,PPD,23857,"30,18%",1989
1,Salvador Urrutia Cárdenas,Concertación de Partidos por la Democracia,PPD,35928,"43,04%",1993
1,Carlos Valcarce Medina,Unión por el progreso de Chile,RN,24386,"29,21%",1993
2,Jorge Soria Macchiavello,Concertación de Partidos por la Democracia,PPD,23941,"30,37%",1993
2,Ramón Pérez Opazo,Unión por el progreso de Chile,RN,28909,"36,67%",1993
3,Fanny Pollarolo Villa,Concertación de Partidos por la Democracia,Ind-PDI,34426,"42,82%",1993
3,Carlos Cantero Ojeda,Unión por el progreso de Chile,RN,17931,"22,3%",1993
4,Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PS,31799,"27,45%",1993
4,Rubén Gajardo Chacón,Concertación de Partidos por la Democracia,DC,43761,"37,78%",1993
5,Erick Villegas González,Concertación de Partidos por la Democracia,DC,19090,"28,94%",1993
5,Carlos Vilches Guzmán,Unión por el progreso de Chile,RN,13320,"20,19%",1993
6,Armando Arancibia Calderón,Concertación de Partidos por la Democracia,PS,11345,"25,95%",1993
6,Baldo Prokurica Prokurica,Unión por el progreso de Chile,RN,12125,"27,74%",1993
7,Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,24562,"29,47%",1993
7,Eugenio Munizaga Rodríguez,Unión por el progreso de Chile,RN,23007,"27,61%",1993
8,Jorge Pizarro Soto,Concertación de Partidos por la Democracia,DC,51258,"52,33%",1993
8,Francisco Encina Moriamez,Concertación de Partidos por la Democracia,PS,13360,"13,64%",1993
9,Renán Fuentealba Vildósola,Concertación de Partidos por la Democracia,DC,15512,"24,63%",1993
9,Isabel Allende Bussi,Concertación de Partidos por la Democracia,PS,21752,"34,54%",1993
10,Ignacio Walker Prieto,Concertación de Partidos por la Democracia,DC,46214,"34,25%",1993
10,Alfonso Vargas Lyng,Unión por el progreso de Chile,RN,32840,"24,34%",1993
11,Nelson Ávila Contreras,Concertación de Partidos por la Democracia,PPD,34554,"33,08%",1993
11,Claudio Rodríguez Cataldo,Unión por el progreso de Chile,RN,29213,"27,96%",1993
12,Iván de La Maza Maillet,Concertación de Partidos por la Democracia,DC,42891,"37,78%",1993
12,Arturo Longton Guerrero,Unión por el progreso de Chile,RN,38630,"34,03%",1993
13,Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,64232,"41,67%",1993
13,Francisco Bartolucci Johnston,Unión por el progreso de Chile,UDI,45010,"29,2%",1993
14,José Makluf Campos,Concertación de Partidos por la Democracia,DC,44996,"28,1%",1993
14,Raúl Urrutia Ávila,Unión por el progreso de Chile,RN,47729,"29,81%",1993
15,Samuel Venegas Rubio,Concertación de Partidos por la Democracia,DC,30174,"39,85%",1993
15,Evelyn Matthei Fornet,Unión por el progreso de Chile,Ind-RN,19572,"25,85%",1993
16,Zarko Luksic Sandoval,Concertación de Partidos por la Democracia,DC,38186,"30,93%",1993
16,Patricio Melero Abaroa,Unión por el progreso de Chile,UDI,35881,"29,06%",1993
17,Ramón Elizalde Hevia,Concertación de Partidos por la Democracia,DC,58693,"33,8%",1993
17,María Antonieta Saa Díaz,Concertación de Partidos por la Democracia,PPD,62190,"35,82%",1993
18,Ignacio Balbontín Arteaga,Concertación de Partidos por la Democracia,DC,38719,"19,79%",1993
18,Guido Girardi Lavín,Concertación de Partidos por la Democracia,PPD,85537,"42,69%",1993
19,Mario Hamuy Berr,Concertación de Partidos por la Democracia,DC,37748,"28,59%",1993
19,Cristián Leay Morán,Unión por el progreso de Chile,UDI,32757,"24,81%",1993
20,Carlos Dupré Silva,Concertación de Partidos por la Democracia,DC,69617,"31,82%",1993
20,Ángel Fantuzzi Hernández,Unión por el progreso de Chile,RN,76679,"35,05%",1993
21,Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,74079,"38,7%",1993
21,Alberto Espina Otero,Unión por el progreso de Chile,RN,82941,"43,33%",1993
22,Jorge Schaulsohn Brodsky,Concertación de Partidos por la Democracia,PPD,50386,"37,51%",1993
22,Alberto Cardemil Herrera,Unión por el progreso de Chile,RN,35740,"26,61%",1993
23,Carlos Bombal Otaegui,Unión por el progreso de Chile,UDI,65449,"34,89%",1993
23,Andrés Allamand Zavala,Unión por el progreso de Chile,RN,58471,"31,17%",1993
24,María Angélica Cristi Marfil,Unión por el progreso de Chile,RN,54016,"39,19%",1993
24,Tomás Jocelyn-Holt Letelier,Concertación de Partidos por la Democracia,DC,43100,"31,27%",1993
25,Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,63431,"34,79%",1993
25,Jaime Orpis Bouchón,Unión por el progreso de Chile,UDI,49538,"27,17%",1993
26,Mariana Aylwin Oyarzún,Concertación de Partidos por la Democracia,DC,48309,"32,91%",1993
26,Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PS,47919,"32,64%",1993
27,Camilo Escalona Medina,Concertación de Partidos por la Democracia,PS,62629,"33,39%",1993
27,Iván Moreira Barros,Unión por el progreso de Chile,UDI,52639,"28,06%",1993
28,Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,46811,"25,57%",1993
28,Darío Paya Mira,Unión por el progreso de Chile,UDI,41029,"22,41%",1993
29,Maximiano Errázuriz Eguiguren,Unión por el progreso de Chile,RN,32271,"19,69%",1993
29,Jaime Estévez Valencia,Concertación de Partidos por la Democracia,PS,52706,"32,16%",1993
30,Andrés Aylwin Azócar,Concertación de Partidos por la Democracia,DC,68442,"46,2%",1993
30,Pablo Longueira Montes,Unión por el progreso de Chile,UDI,47282,"31,92%",1993
31,Vicente Sota Barros,Concertación de Partidos por la Democracia,PPD,48858,"32,59%",1993
31,Juan Antonio Coloma Correa,Unión por el progreso de Chile,UDI,49076,"32,73%",1993
32,Aníbal Pérez Lobos,Concertación de Partidos por la Democracia,PS,28757,"30,64%",1993
32,Alejandro García-Huidobro,Unión por el progreso de Chile,UCC,24398,26%,1993
33,Juan Pablo Letelier Morel,Concertación de Partidos por la Democracia,PS,46577,"41,89%",1993
33,Andrés Chadwick Piñera,Unión por el progreso de Chile,UDI,35361,"31,8%",1993
34,Sergio Morales Morales,Concertación de Partidos por la Democracia,PR,24565,"26,75%",1993
34,Juan Masferrer Pellizari,Unión por el progreso de Chile,UDI,20126,"21,92%",1993
35,Juan Carlos Latorre Carmona,Concertación de Partidos por la Democracia,DC,33338,"46,05%",1993
35,José María Hurtado Ruiz-Tagle,Unión por el progreso de Chile,RN,13030,18%,1993
36,Roberto León Ramírez,Concertación de Partidos por la Democracia,DC,43484,"37,6%",1993
36,Sergio Correa de La Cerda,Unión por el progreso de Chile,UDI,35455,"30,66%",1993
37,Sergio Aguiló Melo,Concertación de Partidos por la Democracia,PS,38066,"44,36%",1993
37,Homero Gutiérrez Román,Concertación de Partidos por la Democracia,DC,17067,"19,89%",1993
38,Romy Rebolledo Leyton,Concertación de Partidos por la Democracia,PPD,24874,"35,07%",1993
38,Pedro Álvarez-Salamanca Büchi,Unión por el progreso de Chile,RN,15034,"21,2%",1993
39,Jaime Naranjo Ortiz,Concertación de Partidos por la Democracia,PS,44883,"53,4%",1993
39,Luis Ferrada Valenzuela,Unión por el progreso de Chile,RN,24974,"29,72%",1993
40,Osvaldo Vega Vera,Unión por el progreso de Chile,UDI,21396,"28,49%",1993
40,Guillermo Ceroni Fuentes,Concertación de Partidos por la Democracia,PPD,17054,"22,71%",1993
41,Isidoro Tohá González,Concertación de Partidos por la Democracia,PS,41206,"33,27%",1993
41,Rosauro Martínez Labbé,Unión por el progreso de Chile,Ind-RN,46727,"37,73%",1993
42,Hosaín Sabag Castillo,Concertación de Partidos por la Democracia,DC,63600,"56,35%",1993
42,Felipe Letelier Norambuena,Concertación de Partidos por la Democracia,PPD,21155,"18,74%",1993
43,Jorge Ulloa Aguillón,Unión por el progreso de Chile,UDI,33558,"27,96%",1993
43,Víctor Jeame Barrueto,Concertación de Partidos por la Democracia,PPD,30361,"25,3%",1993
44,José Miguel Ortiz Novoa,Concertación de Partidos por la Democracia,DC,55622,"33,29%",1993
44,José Antonio Viera Gallo Quesney,Concertación de Partidos por la Democracia,PS,51829,"31,02%",1993
45,Edmundo Salas de la Fuente,Concertación de Partidos por la Democracia,DC,44680,"40,95%",1993
45,Alejandro Navarro Brain,Concertación de Partidos por la Democracia,PS,27328,"25,05%",1993
46,Martita Worner Tapia,Concertación de Partidos por la Democracia,PPD,39059,"41,45%",1993
46,Jaime Rocha Manrique,Concertación de Partidos por la Democracia,PR,17384,"18,45%",1993
47,Octavio Jara Wolff,Concertación de Partidos por la Democracia,PPD,54079,"38,2%",1993
